201.0, 801.0, 201.0, 600.0, 800.0, 200.0
201.0, 801.0, 201.0, 200.0, 1200.0, 200.0
201.0, 1201.0, 201.0, 600.0, 1200.0, 200.0
601.0, 801.0, 201.0, 600.0, 1200.0, 200.0
201.0, 801.0, 201.0, 200.0, 800.0, 600.0
601.0, 801.0, 201.0, 600.0, 800.0, 600.0
201.0, 1201.0, 201.0, 200.0, 1200.0, 600.0
601.0, 1201.0, 201.0, 600.0, 1200.0, 600.0
201.0, 801.0, 601.0, 600.0, 800.0, 600.0
201.0, 801.0, 601.0, 200.0, 1200.0, 600.0
201.0, 1201.0, 601.0, 600.0, 1200.0, 600.0
601.0, 801.0, 601.0, 600.0, 1200.0, 600.0
